edad,grado,promedio_matematica,promedio_comunicacion,promedio_ciencias,promedio_general,num_cursos_desaprobados,porcentaje_asistencia,num_tardanzas,num_inasistencias_injustificadas,tendencia_notas,participacion_clase,entrega_tareas,repitio_grado,horas_estudio_semanal,target,genero,estructura_familiar,num_hermanos,nivel_socioeconomico,nivel_educativo_padres,trabaja_estudiante,horas_trabajo_semanal,acceso_internet_hogar,distancia_colegio_km,nivel_autoestima,nivel_ansiedad,nivel_motivacion_escolar,apoyo_familiar_percibido,eventos_estresantes_recientes,relacion_con_companeros,horas_sueño_diarias,consumo_sustancias,participa_actividades_extracurriculares,atencion_psicologica_previa
16.0,4,18.24,16.61,19.54,18.39,0,94.9,1,0,1,2,86.4,0,15.1,0,1,0,1,2,0,0,20.8,0,5.6,5.0,3,4,5,0,0,7.7,0,1,0
14.0,2,14.17,14.14,15.17,14.24,1,80.0,2,2,1,0,74.1,0,10.3,0,1,0,4,0,1,0,20.8,1,3.68,4.0,2,2,4,1,0,9.3,0,1,0
14.0,3,12.32,14.51,17.96,14.81,0,86.7,2,2,1,2,84.7,0,7.8,0,1,1,1,0,3,0,20.8,1,0.79,3.0,1,4,4,1,0,7.1,0,1,0
14.0,3,4.0,6.1,3.67,4.76,8,70.4,8,10,0,1,66.6,0,7.2,2,0,0,2,1,4,0,20.8,1,0.66,4.0,3,3,4,1,1,3.7,0,0,1
15.0,3,12.6,11.85,16.07,12.46,0,81.5,4,3,1,0,58.6,1,7.7,1,1,0,1,3,1,0,20.8,1,4.35,3.0,3,3,3,0,2,6.6,0,0,0
15.0,4,12.51,16.12,18.07,15.89,1,83.4,4,3,1,2,100.0,0,11.2,0,0,0,0,3,1,0,20.8,1,4.61,4.0,2,4,4,0,0,6.3,0,0,1
16.0,4,7.14,5.34,12.49,7.03,2,66.4,8,1,0,1,57.7,0,12.1,1,0,3,1,1,3,1,23.7,1,3.77,2.0,3,3,3,1,1,8.0,0,0,0
13.0,1,12.91,4.85,7.9,8.97,3,72.7,12,6,0,2,53.1,0,5.8,1,1,3,2,3,3,1,24.3,1,1.45,5.0,4,2,4,1,2,6.0,0,0,0
17.0,5,13.41,17.49,12.89,14.08,0,93.6,0,0,1,2,72.9,0,4.6,1,1,0,2,2,1,0,20.8,0,0.58,3.0,2,4,5,0,2,4.7,0,0,1
13.0,1,9.98,4.04,8.57,6.95,7,85.0,7,6,1,1,60.0,0,10.3,2,1,1,4,1,3,1,20.6,0,2.36,2.0,5,2,4,1,1,6.3,0,0,0
13.0,1,13.7,12.31,12.37,12.72,2,79.1,5,2,1,2,55.0,0,13.0,0,0,3,4,2,2,0,20.8,0,7.04,3.0,4,3,3,1,0,5.2,0,1,1
13.0,1,14.17,15.06,16.52,15.05,1,80.1,1,0,1,2,99.1,0,17.0,0,0,3,2,2,3,0,20.8,0,1.87,4.0,2,3,3,0,0,6.5,0,0,0
16.0,4,14.83,4.31,12.76,10.52,0,71.6,5,8,0,1,58.0,1,10.6,2,0,3,3,1,1,0,20.8,0,1.33,2.0,4,1,3,0,1,7.8,0,0,0
17.0,5,14.69,14.87,15.4,14.35,0,73.7,0,3,2,0,82.1,0,8.9,0,0,0,2,2,0,0,20.8,1,1.57,4.0,3,4,4,0,0,7.5,0,0,0
14.0,2,11.64,10.99,10.98,11.21,6,80.7,4,8,1,1,36.5,0,8.7,1,2,1,0,3,1,0,20.8,1,2.02,2.0,4,3,5,0,1,6.8,0,0,0
13.0,2,13.3,13.8,16.25,13.92,0,90.7,4,3,2,0,67.5,0,8.0,1,1,3,2,0,1,0,20.8,1,1.46,5.0,4,3,4,0,0,6.4,0,0,0
16.0,4,15.71,14.26,15.82,14.42,0,93.7,6,3,2,0,65.4,0,5.1,0,1,1,0,2,1,0,20.8,0,1.25,3.0,2,3,5,1,0,8.3,0,0,1
15.0,4,10.32,15.75,9.28,12.11,0,72.3,3,8,1,1,79.9,0,6.8,1,0,0,2,3,4,1,15.0,1,5.03,4.0,3,3,3,0,0,5.2,1,1,1
12.0,1,20.0,19.2,17.28,18.61,0,86.6,3,0,2,0,100.0,0,10.4,0,2,1,0,2,0,0,20.8,1,1.81,3.0,3,3,5,0,2,7.1,0,1,0
14.0,3,8.59,15.24,14.49,12.45,2,78.7,8,1,1,2,61.3,0,8.1,1,0,3,1,3,2,0,20.8,1,2.27,3.0,3,3,5,0,2,7.6,0,1,0
16.0,4,18.44,15.41,14.18,15.87,2,80.9,2,1,2,2,76.0,0,10.0,1,0,0,4,2,1,0,20.8,0,3.37,3.0,3,5,2,0,0,6.1,0,1,0
13.0,2,10.59,10.18,8.41,9.87,5,77.6,3,6,2,2,77.4,0,8.8,1,0,2,1,2,3,1,15.2,1,9.11,5.0,4,4,4,1,2,6.8,0,0,0
17.0,5,10.3,9.67,10.33,10.05,6,71.5,12,4,1,1,47.7,1,8.3,2,0,0,1,1,4,1,25.4,1,4.12,2.0,4,3,5,0,1,6.5,0,0,1
15.0,4,11.8,19.3,17.53,16.19,0,92.8,2,2,2,2,100.0,0,13.8,0,1,1,0,2,3,1,21.0,1,0.8,4.0,2,4,3,0,0,6.1,1,1,0
15.0,4,16.4,17.3,17.18,16.91,1,86.4,1,0,1,0,95.5,0,11.6,0,1,3,1,2,0,1,2.0,1,1.73,4.0,2,5,4,0,0,7.2,0,1,0
15.0,4,14.61,15.65,17.3,15.91,0,97.9,0,1,2,0,80.0,0,14.6,0,0,0,2,2,1,0,20.8,1,6.19,4.0,2,5,3,0,0,5.4,0,0,0
14.0,3,10.34,13.98,14.01,12.74,1,86.5,5,4,3,0,70.8,0,8.1,0,1,0,5,3,1,0,20.8,1,2.77,3.0,4,3,2,1,3,7.0,0,1,0
17.0,5,16.66,14.2,8.27,13.09,3,71.5,3,4,1,2,75.9,0,9.9,0,0,0,2,3,3,0,20.8,1,4.44,3.0,2,3,4,0,2,7.7,0,1,0
16.0,5,14.92,18.96,17.7,16.7,1,91.9,2,3,2,0,88.5,0,17.8,0,0,0,2,0,0,0,20.8,1,2.4,5.0,2,5,5,0,0,8.8,0,0,0
16.0,5,17.48,20.0,19.56,19.7,1,100.0,0,1,2,2,100.0,0,13.7,0,1,0,3,2,0,0,20.8,0,5.28,3.0,3,5,3,0,2,9.2,0,1,0
14.0,3,0.0,9.83,3.05,5.34,2,66.0,5,9,0,1,42.5,1,8.1,2,1,0,1,1,3,0,20.8,1,0.1,1.0,4,2,2,0,1,4.9,0,0,0
17.0,5,15.99,13.25,11.84,13.3,3,74.2,2,5,2,2,76.8,0,8.8,0,1,3,4,2,1,0,20.8,1,4.18,4.0,4,3,5,0,0,8.0,0,0,1
13.0,1,13.01,11.2,13.09,12.85,0,78.7,1,2,2,1,62.5,0,14.8,1,0,2,0,3,0,1,15.6,1,1.93,1.0,1,3,3,0,2,7.5,0,1,1
12.0,1,12.86,11.04,13.71,12.95,1,77.7,4,4,1,1,71.8,0,10.1,1,1,0,2,2,1,0,20.8,0,3.02,3.0,3,4,5,0,2,7.1,0,1,0
14.0,2,10.7,19.53,19.47,16.25,0,81.0,3,2,1,0,85.7,0,8.4,0,0,3,2,0,1,0,20.8,0,0.37,3.0,3,3,4,0,0,6.6,0,1,0
16.0,4,13.96,11.68,12.64,11.85,1,70.1,4,2,0,0,75.4,0,2.3,0,0,0,0,2,0,0,20.8,1,9.69,3.0,3,5,3,0,2,6.8,0,1,0
14.0,3,10.27,9.36,5.76,8.3,2,72.2,9,7,0,2,69.3,1,6.3,1,0,2,2,1,0,0,20.8,1,2.58,3.0,5,2,3,0,1,6.2,0,0,0
13.0,2,17.14,15.18,15.38,15.76,2,88.2,2,4,2,0,75.3,0,12.8,0,1,3,1,2,3,1,24.9,1,4.37,5.0,3,3,4,0,2,6.2,0,1,0
13.0,2,10.77,13.37,15.81,13.31,1,100.0,4,1,2,2,58.3,0,8.5,0,0,0,0,0,1,0,20.8,0,4.21,5.0,3,4,4,1,2,6.8,0,0,1
14.0,3,11.25,12.82,15.5,13.52,4,77.3,7,3,1,2,63.7,0,7.0,1,0,0,1,3,3,0,20.8,1,3.34,2.0,1,3,3,0,0,6.5,0,1,0
14.0,2,14.06,13.83,15.01,13.67,0,95.8,4,3,1,0,75.5,0,14.1,0,1,0,1,2,0,0,20.8,0,3.36,3.0,3,5,3,1,1,8.4,0,0,0
15.0,4,12.56,9.93,9.77,11.11,1,77.1,4,1,2,1,65.0,1,5.3,1,2,0,1,3,3,0,20.8,0,0.43,3.0,2,3,2,0,2,7.4,0,0,0
13.0,1,15.92,13.71,18.34,16.14,1,80.6,4,3,1,0,70.3,0,8.9,1,1,0,0,3,3,0,20.8,1,0.1,4.0,1,3,3,0,2,7.6,0,1,0
13.0,2,4.9,8.01,12.03,7.44,2,91.6,6,2,2,2,74.0,1,8.2,1,0,0,2,3,3,1,13.0,1,0.1,3.0,4,3,3,0,2,7.7,0,1,0
16.0,4,8.87,5.09,6.23,6.66,3,62.0,10,12,0,2,29.0,1,8.1,1,0,1,2,1,3,0,20.8,1,0.14,3.0,5,2,3,0,2,5.9,0,0,0
14.0,3,10.13,15.59,12.49,12.42,2,71.0,10,6,2,2,47.0,0,9.2,1,0,0,1,1,1,0,20.8,1,6.88,1.0,4,3,1,0,2,7.7,1,0,0
14.0,3,13.16,12.02,11.69,13.41,5,67.3,6,9,0,1,42.7,0,2.8,2,1,0,1,3,0,1,27.8,1,1.63,2.0,5,2,4,0,2,5.1,0,0,0
14.0,3,12.89,9.64,10.3,10.7,3,63.4,3,7,0,1,62.1,0,10.3,2,0,3,2,3,0,0,20.8,1,0.33,1.0,3,3,3,1,2,6.8,0,0,1
13.0,2,10.74,8.46,7.39,8.83,3,66.3,5,3,1,1,44.3,0,6.8,2,0,0,3,1,1,0,20.8,0,0.85,3.0,4,3,3,0,2,4.7,1,0,0
15.0,3,10.36,10.17,12.04,10.43,5,74.6,4,8,0,1,62.3,0,6.4,1,0,0,2,3,3,0,20.8,1,0.1,3.0,2,1,2,1,2,6.8,0,0,0
14.0,2,13.53,11.65,10.38,11.93,5,88.5,4,5,2,1,74.1,0,9.0,1,1,2,2,3,0,0,20.8,1,0.16,4.0,3,3,2,1,2,7.0,0,0,1
12.0,1,11.52,9.49,8.82,10.14,2,64.9,7,2,1,1,63.1,0,9.5,1,1,0,1,1,1,1,22.0,1,1.75,1.0,4,2,4,1,2,7.0,0,0,0
13.0,1,12.68,12.76,13.68,13.47,1,74.2,2,3,2,1,55.8,0,7.5,1,0,0,4,3,0,0,20.8,0,1.9,2.0,3,2,5,1,0,8.9,0,0,1
12.0,1,10.73,4.93,10.74,9.48,7,65.5,6,12,1,1,52.3,0,4.0,1,0,3,3,1,3,1,21.7,0,1.33,3.0,3,4,4,0,2,7.2,0,0,0
17.0,5,14.17,16.08,17.95,15.34,1,88.2,1,2,2,2,64.3,0,12.2,0,1,0,0,2,0,1,26.8,1,0.45,2.0,2,5,4,0,0,7.2,0,1,0
13.0,1,9.76,6.45,8.03,8.72,1,73.0,6,10,1,1,44.8,1,6.4,2,1,0,1,1,3,1,28.6,0,2.05,2.0,3,2,2,0,3,5.1,0,0,0
13.0,1,11.61,12.26,11.68,11.8,3,77.9,3,3,1,1,64.3,1,0.0,0,1,3,1,3,0,1,24.1,0,3.34,4.0,4,2,4,0,2,4.4,0,1,1
14.0,2,9.22,12.81,12.49,10.95,3,67.5,9,7,0,2,46.8,0,0.0,1,1,0,1,3,0,0,20.8,0,0.62,4.0,5,2,3,1,1,7.1,0,1,1
13.0,1,10.28,8.59,10.11,9.69,0,71.9,7,5,1,2,72.9,0,3.8,1,1,3,1,3,0,0,20.8,1,1.93,1.0,5,4,4,0,1,5.8,0,0,0
17.0,5,11.6,2.34,13.86,9.48,0,79.2,7,4,3,2,58.6,0,1.5,1,1,0,0,1,3,0,20.8,1,6.14,1.0,2,1,2,1,2,5.3,0,0,0
12.0,1,13.84,10.79,10.02,11.72,3,71.3,2,3,1,2,69.6,0,3.6,1,0,3,0,3,0,0,20.8,1,1.49,4.0,3,1,3,1,0,7.8,0,0,0
13.0,2,17.99,16.74,13.25,15.57,0,96.8,0,1,2,0,100.0,0,9.1,0,1,3,3,0,1,0,20.8,1,5.99,4.0,2,5,4,0,2,6.1,0,1,1
13.0,2,16.52,17.73,14.71,16.7,0,80.0,2,3,2,2,69.6,0,7.4,0,0,3,3,0,3,1,16.7,0,2.59,4.0,4,3,3,1,0,6.8,0,1,0
13.0,2,12.42,14.05,10.82,12.49,0,80.4,11,7,1,2,89.6,0,0.0,1,2,3,2,2,0,0,20.8,0,1.04,5.0,3,5,3,0,0,5.9,0,0,0
14.0,3,10.45,11.59,12.49,12.49,2,78.0,4,2,1,1,57.2,0,7.6,2,1,0,3,1,1,0,20.8,0,2.14,3.0,2,3,3,0,1,4.5,0,1,1
12.0,1,15.25,12.78,11.96,13.73,1,78.5,0,6,1,2,84.3,0,5.5,1,1,1,1,2,1,0,20.8,0,4.53,3.0,3,1,2,0,0,7.3,0,1,0
13.0,1,9.96,9.84,12.16,10.27,2,69.8,8,5,0,1,61.3,0,0.1,1,0,0,1,1,0,1,15.0,0,3.91,2.0,3,3,4,1,2,5.9,0,0,0
15.0,4,11.03,12.62,11.31,11.47,3,74.7,9,8,2,2,60.1,0,4.8,1,1,3,1,3,1,1,18.7,1,5.24,4.0,4,2,4,0,1,4.1,0,1,1
14.0,3,13.24,16.73,18.52,16.47,0,100.0,2,0,2,0,68.8,0,14.5,0,0,0,0,2,3,0,20.8,1,2.83,4.0,2,4,2,1,2,8.2,0,0,0
15.0,3,16.44,17.24,18.23,17.04,1,77.5,1,1,3,0,100.0,0,4.2,0,2,0,3,2,1,0,20.8,1,1.86,4.0,1,3,4,0,0,6.5,0,1,0
16.0,4,9.45,11.29,12.88,10.68,3,91.2,4,5,0,2,72.2,0,7.2,1,0,0,2,2,3,0,20.8,1,0.53,3.0,2,3,3,0,2,5.9,0,0,1
15.0,3,14.89,11.44,9.0,12.16,1,57.6,6,6,1,1,57.1,0,5.1,1,0,0,2,1,0,0,20.8,0,1.63,4.0,3,2,3,0,1,5.1,0,0,0
12.0,1,9.18,5.58,11.96,9.36,2,60.2,5,6,0,1,69.6,0,9.8,2,1,3,1,3,3,0,20.8,1,1.0,3.0,5,2,1,1,2,7.7,0,0,1
13.0,2,10.6,12.23,13.64,12.51,1,100.0,2,2,2,0,86.9,0,11.9,0,1,0,2,4,1,1,10.4,1,1.18,4.0,3,4,4,0,0,7.5,0,1,0
16.0,4,20.0,20.0,16.81,17.82,0,92.1,1,0,1,0,100.0,0,11.4,0,1,3,4,0,2,0,20.8,1,7.59,3.0,1,4,4,0,0,8.6,0,0,0
15.0,3,7.87,7.81,10.01,9.24,5,66.3,10,4,0,1,48.8,1,4.0,2,0,0,1,1,1,0,20.8,1,4.19,2.0,4,2,4,1,1,5.7,0,0,0
16.0,4,11.44,10.71,11.31,10.57,2,68.5,6,5,2,2,68.4,0,5.7,1,1,0,0,3,0,0,20.8,1,0.59,2.0,4,2,3,1,0,6.8,0,0,1
15.0,3,15.47,15.58,14.91,15.19,1,99.9,2,0,2,0,87.2,0,13.7,0,1,1,3,2,0,0,20.8,1,1.69,3.0,2,4,4,0,0,7.4,0,1,0
17.0,5,3.77,6.45,4.64,4.61,2,57.3,12,8,3,1,69.6,0,0.9,2,2,0,2,3,3,0,20.8,1,4.88,3.0,5,1,1,1,2,5.2,1,1,1
17.0,5,20.0,16.13,16.25,17.54,1,85.0,1,2,2,2,69.6,0,8.1,0,0,0,2,2,1,1,19.5,0,8.18,2.0,3,3,3,0,0,7.5,0,1,1
15.0,4,10.88,10.6,10.3,10.6,2,94.9,10,6,2,1,69.6,0,4.2,2,1,3,2,1,3,0,20.8,1,2.77,4.0,3,3,2,0,1,8.4,1,0,0
16.0,4,11.2,15.61,16.72,14.48,1,86.8,3,6,0,2,52.6,0,11.1,1,1,0,2,3,0,0,20.8,0,5.36,3.0,4,5,4,0,0,5.8,0,1,0
16.0,4,10.74,15.42,15.57,14.15,0,78.7,1,1,2,0,81.0,0,11.9,1,0,0,1,2,3,0,20.8,1,0.6,5.0,3,2,4,0,0,7.1,0,1,1
16.0,4,11.21,14.82,12.78,13.3,0,83.3,5,3,1,0,100.0,0,7.7,0,1,0,0,2,1,1,10.7,1,4.73,4.0,1,4,3,0,0,5.5,0,1,0
13.0,2,18.71,11.34,16.49,15.44,3,92.1,4,5,2,2,76.9,0,8.3,0,0,0,2,3,3,0,20.8,1,0.65,4.0,2,5,5,1,2,8.4,0,1,0
15.0,3,20.0,14.47,19.74,18.57,0,80.7,1,1,1,0,100.0,0,12.9,0,0,0,6,4,1,0,20.8,1,2.17,4.0,1,4,4,0,0,7.6,0,0,0
14.0,3,20.0,19.17,18.11,19.55,0,88.1,1,3,2,0,94.5,0,10.3,0,1,0,0,2,3,0,20.8,0,5.37,4.0,1,3,5,0,0,7.4,0,0,1
12.0,1,15.05,18.14,17.65,17.32,2,100.0,2,0,1,2,76.8,0,7.0,0,0,0,2,2,1,1,13.7,1,4.14,4.0,2,4,3,0,3,6.7,0,1,0
13.0,1,19.3,20.0,16.11,18.66,0,95.6,2,0,2,0,86.9,0,9.8,0,0,0,3,2,0,0,20.8,0,0.44,4.0,1,3,5,0,0,6.5,0,0,0
15.0,3,12.47,12.84,17.49,14.51,0,83.5,2,4,1,2,75.5,0,6.8,0,0,0,1,3,1,0,20.8,1,4.05,4.0,1,4,3,0,2,6.0,0,0,0
14.0,2,11.5,5.73,11.75,10.01,5,74.5,3,1,1,2,70.3,0,1.4,1,1,3,1,2,3,1,19.6,1,0.74,2.0,3,4,3,1,1,6.6,0,0,0
15.0,4,8.76,11.28,9.04,10.92,1,65.5,5,13,0,2,63.1,1,2.6,1,0,0,1,1,3,0,20.8,1,1.11,2.0,2,1,4,1,2,5.7,0,0,0
15.0,4,10.18,11.29,15.4,12.27,3,72.3,10,6,0,1,54.3,1,8.1,1,1,0,3,1,1,0,20.8,1,0.36,3.0,5,2,5,1,2,5.2,0,0,0
15.0,4,13.67,16.22,18.11,16.49,1,84.6,4,0,1,2,82.6,0,4.1,1,0,3,3,3,0,0,20.8,1,3.96,2.0,2,2,5,0,2,8.2,0,1,0
16.0,4,12.32,17.98,19.16,17.22,2,94.7,1,1,2,0,85.2,0,14.3,0,0,0,1,2,1,0,20.8,1,5.89,4.0,3,3,4,1,0,8.1,0,1,0
13.0,1,9.51,11.61,5.52,8.83,4,57.1,7,8,0,1,59.0,0,5.1,2,0,0,2,1,1,0,20.8,0,1.33,4.0,5,2,2,0,2,5.7,1,1,0
15.0,4,18.6,17.49,17.87,18.12,4,82.7,4,2,1,2,79.8,0,4.9,0,1,0,2,2,1,0,20.8,1,1.76,3.0,1,4,4,0,0,6.8,0,0,0
13.0,1,5.99,9.08,12.29,9.53,2,66.4,8,7,0,2,42.1,1,4.2,1,0,3,2,1,0,0,20.8,0,2.79,2.0,4,3,2,0,1,6.6,1,0,0
17.0,5,16.92,16.82,14.43,16.16,2,92.3,2,2,2,0,100.0,0,3.8,0,0,0,3,2,1,1,17.2,1,0.8,3.0,1,4,5,0,0,8.6,0,0,0
13.0,1,6.08,4.67,10.62,6.72,2,55.7,6,9,0,2,56.1,0,6.7,2,0,0,5,3,1,0,20.8,0,0.61,3.0,3,3,4,1,2,6.4,0,0,0
17.0,5,10.22,9.75,13.18,11.38,3,72.9,3,5,0,2,61.6,0,12.3,1,1,3,1,2,3,0,20.8,0,0.49,2.0,3,2,4,1,2,6.5,0,0,0
16.0,5,14.55,14.97,13.47,13.57,0,90.2,2,2,1,0,88.5,0,6.7,0,0,3,1,2,0,0,20.8,0,2.2,3.0,1,5,4,0,0,7.7,0,1,0
14.0,3,7.88,7.01,8.58,7.94,3,64.3,13,8,0,2,42.7,0,12.4,1,1,3,0,3,1,1,22.4,0,4.51,2.0,3,3,2,0,1,6.1,0,1,0
13.0,1,9.18,16.67,8.6,11.76,2,64.5,8,9,0,2,72.9,1,0.7,1,0,0,2,3,1,0,20.8,1,2.02,3.0,4,3,2,0,2,8.4,0,0,0
13.0,2,13.92,15.67,18.71,17.1,0,88.3,1,1,2,0,100.0,0,11.7,0,1,3,0,2,1,0,20.8,0,3.09,3.0,4,3,4,1,0,6.3,0,0,0
15.0,3,12.41,10.4,6.94,10.38,5,78.5,8,8,1,2,58.2,0,11.5,1,0,2,2,3,2,1,30.2,1,23.97,3.0,4,2,1,1,2,6.5,0,1,1
14.0,3,16.01,13.33,13.43,14.14,0,69.5,3,4,1,1,51.5,0,8.3,0,1,0,3,2,3,0,20.8,1,0.64,3.0,3,3,4,1,2,6.9,0,1,0
15.0,3,8.59,1.98,6.83,5.63,5,62.0,7,14,0,2,32.1,0,2.5,2,1,0,1,1,1,0,20.8,1,6.35,1.0,4,2,2,1,2,5.4,0,0,1
17.0,5,12.61,9.36,9.74,10.71,5,54.4,4,8,1,0,69.9,0,1.6,1,0,0,2,2,3,1,23.5,1,3.74,4.0,4,3,3,1,2,7.3,0,0,0
13.0,2,14.96,15.21,16.6,15.54,0,81.3,4,2,2,2,87.5,1,8.1,0,0,0,1,2,3,1,18.5,1,2.72,4.0,2,4,5,0,0,6.0,0,1,1
15.0,3,15.48,12.94,14.92,13.91,1,87.8,5,1,1,0,83.2,0,5.0,0,0,0,2,2,1,0,20.8,1,9.61,4.0,5,3,1,1,2,6.2,0,0,0
15.0,4,5.16,9.98,7.29,6.92,5,62.4,1,10,0,2,54.1,0,6.1,2,0,0,1,3,1,1,25.7,0,0.92,3.0,4,4,3,1,2,7.2,1,0,0
15.0,3,20.0,19.36,14.5,18.76,0,94.8,1,0,1,0,86.1,0,12.9,0,1,2,2,0,1,0,20.8,1,1.59,3.0,2,4,3,0,0,8.4,0,0,0
13.0,2,17.15,16.64,17.66,16.81,0,87.9,2,0,2,0,100.0,0,11.9,0,1,0,0,2,1,0,20.8,0,0.75,5.0,1,3,5,0,2,7.3,0,1,0
14.0,3,9.22,6.46,9.79,8.36,2,64.7,3,5,0,2,46.0,1,4.8,2,0,0,0,1,2,0,20.8,1,2.69,1.0,5,1,3,0,2,5.0,1,0,0
13.0,2,16.72,10.27,17.68,14.58,1,71.2,4,6,1,2,70.9,1,11.8,0,1,1,0,2,1,0,20.8,1,0.1,4.0,2,4,3,0,0,5.6,0,0,0
13.0,1,12.67,15.41,13.63,13.67,3,88.6,7,5,1,2,69.6,0,2.8,0,0,0,3,2,1,0,20.8,1,1.11,3.0,2,3,3,1,2,7.2,0,0,0
17.0,5,8.4,7.63,9.8,9.06,3,74.5,8,7,0,2,53.0,1,3.2,2,1,2,1,1,3,0,20.8,0,4.8,3.0,4,2,1,1,2,5.0,0,0,0
14.0,2,5.17,7.35,11.83,7.06,5,65.9,5,11,0,1,54.9,1,8.2,1,0,3,2,3,3,1,22.2,0,0.48,2.0,3,1,3,1,1,6.4,0,0,0
15.0,3,12.0,12.69,16.13,13.89,0,88.3,9,1,1,0,77.0,0,8.1,0,0,2,1,3,1,0,20.8,1,3.65,3.0,3,2,3,0,2,5.4,0,1,0
13.0,1,13.43,10.58,13.51,13.29,2,90.4,1,4,1,1,58.3,0,11.0,1,0,0,2,1,0,0,20.8,0,0.67,3.0,3,3,2,1,1,6.2,0,0,1
14.0,2,10.62,4.41,6.7,6.8,0,54.3,10,15,0,1,47.9,0,7.5,2,2,3,3,1,0,0,20.8,0,0.13,2.0,4,3,4,1,1,5.2,0,0,0
13.0,2,16.18,17.33,16.67,16.73,0,84.1,1,3,2,0,79.7,1,8.1,0,0,3,2,2,3,0,20.8,1,3.64,5.0,3,5,3,0,0,6.8,0,1,1
15.0,4,17.59,16.88,19.34,17.84,1,95.5,0,0,2,0,100.0,1,6.9,0,0,3,4,2,0,0,20.8,0,0.14,4.0,1,2,4,0,0,8.0,0,1,0
13.0,2,8.59,7.66,2.03,6.11,2,62.8,8,9,0,2,27.2,1,7.0,1,1,0,7,1,3,0,20.8,1,3.76,3.0,4,1,4,1,1,6.1,0,0,1
13.0,2,11.4,8.92,7.58,9.99,4,64.2,8,7,1,0,58.4,1,8.1,0,0,3,3,2,2,0,20.8,1,1.0,2.0,3,3,3,1,0,7.5,0,0,0
15.0,3,12.03,11.47,10.98,11.37,2,82.4,6,6,2,2,56.1,0,7.3,1,0,2,1,3,1,0,20.8,1,0.22,2.0,4,4,2,0,0,4.9,0,0,0
14.0,2,7.73,9.65,11.27,9.63,0,61.4,7,5,3,1,64.8,0,5.0,2,1,0,2,1,4,1,26.9,0,1.99,2.0,5,3,1,1,1,5.2,1,0,0
15.0,3,11.88,15.9,17.86,15.09,1,85.1,3,5,2,2,86.8,1,10.8,1,1,0,2,3,0,0,20.8,0,1.84,5.0,4,2,3,0,2,6.8,0,1,0
13.0,1,8.61,11.27,10.86,11.01,1,60.2,9,8,1,1,24.7,1,5.9,2,0,0,2,3,3,0,20.8,0,1.35,1.0,4,1,4,1,2,7.6,0,0,0
14.0,2,12.0,12.63,13.26,13.53,3,77.4,7,4,2,2,62.8,0,8.0,1,1,0,0,3,1,0,20.8,1,7.29,4.0,2,3,3,0,0,7.8,0,1,0
15.0,4,9.4,5.63,9.74,7.78,5,77.1,6,7,0,1,56.9,0,2.4,2,1,3,2,3,4,0,20.8,1,1.47,3.0,5,3,2,0,1,4.1,0,0,0
16.0,5,12.29,12.63,9.1,11.27,1,71.0,8,4,1,2,72.5,0,7.0,1,1,3,1,3,2,0,20.8,1,3.91,3.0,3,3,5,0,0,6.1,0,0,0
17.0,5,16.3,13.94,20.0,16.58,1,79.7,2,1,2,0,100.0,0,7.7,1,1,3,1,2,1,0,20.8,1,2.09,3.0,2,3,4,0,0,5.1,1,1,1
14.0,3,14.6,10.08,15.38,14.35,2,92.4,6,3,0,2,74.0,0,7.1,1,0,0,2,3,3,1,18.0,0,2.97,5.0,2,3,3,1,2,8.2,0,1,0
12.0,1,17.71,19.97,17.66,18.67,0,78.5,2,1,2,0,69.6,0,7.6,0,0,0,2,2,1,0,20.8,1,0.14,3.0,3,5,4,0,0,7.0,0,0,0
13.0,2,10.31,7.95,1.74,6.13,7,51.8,10,7,0,1,49.9,1,0.5,2,1,0,2,1,3,0,20.8,1,0.3,1.0,4,4,1,1,3,6.6,1,1,0
14.0,3,15.2,18.3,16.69,17.43,0,100.0,1,0,2,2,90.9,0,11.4,0,0,3,1,2,3,0,20.8,1,0.36,3.0,2,5,4,0,0,5.8,0,0,0
15.0,4,8.0,12.86,9.15,9.66,2,68.1,5,6,0,2,76.2,0,0.0,2,1,3,5,1,3,1,15.3,1,0.2,4.0,4,2,4,0,2,6.4,0,1,0
13.0,1,13.74,17.57,11.75,13.99,0,78.7,0,0,1,2,87.5,0,9.9,0,0,0,4,2,4,0,20.8,1,0.31,5.0,1,5,3,0,0,7.6,0,0,0
15.0,4,12.83,8.46,15.72,12.16,3,83.7,5,5,2,2,56.2,1,6.1,1,0,0,2,2,3,0,20.8,1,2.74,4.0,4,3,3,0,2,7.0,0,0,1
14.0,3,15.4,13.31,14.67,14.25,1,81.0,3,5,2,2,84.8,0,7.9,0,1,1,2,2,3,0,20.8,1,0.48,4.0,2,2,5,1,2,4.9,0,0,0
12.0,1,20.0,19.63,15.95,18.27,1,100.0,1,0,2,0,97.6,0,13.3,1,0,0,2,2,4,0,20.8,1,4.57,3.0,2,4,5,0,0,8.2,0,0,0
13.0,1,11.88,7.87,10.15,10.37,3,69.4,7,6,0,1,33.8,0,2.7,1,2,0,2,3,2,0,20.8,1,5.96,3.0,3,2,4,1,1,8.0,0,1,1
16.0,4,13.11,16.15,11.48,14.29,3,79.5,7,5,1,0,94.2,0,10.7,0,0,3,2,2,1,1,22.1,0,1.83,2.0,2,3,3,0,1,7.0,0,1,0
